holdingId,stockId,investment,accountid
132,29,4700,44
133,94,8200,862
134,32,8400,588
135,24,7500,595
136,39,4400,329
137,28,9700,673
138,86,4500,569
139,79,1300,450
140,55,6500,526
141,7,9400,841
142,69,1100,945
143,67,9700,393
144,24,4800,49
145,34,4800,160
146,40,9600,926
147,28,2600,641
148,87,7600,597
149,49,1200,808
150,35,9200,791
151,18,1700,95
152,85,4400,259
153,43,4500,960
154,99,6000,607
155,19,3400,53
156,21,6000,405
157,41,1300,763
158,66,1500,978
159,35,2300,864
160,58,800,822
161,29,8200,211
162,83,8600,597
163,17,2300,789
164,21,4700,258
165,67,1500,878
166,19,5300,807
167,33,3600,677
168,86,9900,190
169,39,5000,172
170,24,4000,720
171,48,1100,755
172,83,3800,456
173,43,6500,120
174,15,2200,624
175,94,800,171
176,14,2500,414
177,2,2300,674
178,84,8600,3
179,52,7400,488
180,27,8500,739
181,68,3900,833
182,17,8900,920
183,76,300,844
184,33,9000,273
185,33,10000,9
186,34,500,704
187,33,1800,381
188,90,7700,287
189,99,5200,827
190,8,7800,840
191,28,9000,965
192,29,9800,170
193,49,8900,940
194,33,7300,614
195,34,9800,588
196,95,6600,926
197,14,2500,857
198,57,6100,411
199,36,3700,942
200,70,3700,307
201,51,2300,458
202,86,5300,605
203,3,1000,792
204,31,5300,338
205,6,4800,257
206,55,6600,609
207,64,200,700
208,61,6300,110
209,24,7800,711
210,95,4800,927
211,69,7700,120
212,59,5200,113
213,47,8600,939
214,56,300,841
215,32,9700,284
216,11,1200,706
217,60,8700,335
218,65,4500,496
219,42,9900,692
220,62,8300,883
221,3,8400,702
222,67,5800,478
223,11,7000,85
224,48,5700,503
225,23,4900,618
226,100,6300,426
227,24,3500,452
228,5,6300,943
229,94,200,299
230,80,1000,838
231,91,4700,883
232,41,2600,961
233,93,2900,606
234,49,3500,678
235,21,10000,36
236,86,10000,834
237,23,9100,634
238,13,8900,113
239,60,8800,160
240,38,5900,193
241,99,7900,640
242,31,6100,497
243,55,600,395
244,46,5500,417
245,9,2200,454
246,85,9000,628
247,73,7500,104
248,7,4400,821
249,35,5000,237
250,29,10000,533
251,53,9300,64
252,100,6000,563
253,22,3400,633
254,93,1100,517
255,77,4600,120
256,52,3300,20
257,76,3300,604
258,99,7200,979
259,2,9100,321
260,8,6500,622
261,77,9200,126
262,9,2500,512
263,40,1100,269
264,49,7600,225
265,40,3500,448
266,37,7000,996
267,95,4800,660
268,81,3000,681
269,31,300,992
270,73,3000,129
271,21,2900,590
272,41,7800,766
273,35,400,713
274,79,9400,833
275,50,1400,865
276,17,2700,553
277,68,5200,333
278,45,2700,843
279,52,3800,281
280,24,1200,590
281,95,800,405
282,29,1900,811
283,78,8400,788
284,41,7300,126
285,34,9900,979
286,83,200,305
287,4,1200,903
288,87,9700,258
289,75,2400,712
290,91,300,148
291,57,4300,130
292,44,6200,794
293,27,6000,710
294,7,9600,931
295,64,9300,399
296,69,8900,644
297,42,6000,888
298,77,700,128
299,35,200,831
300,88,900,218
301,13,800,603
302,97,9700,207
303,94,4400,491
304,19,8700,991
305,95,1000,357
306,99,4300,208
307,41,7100,733
308,61,5900,500
309,11,3000,99
310,27,500,597
311,57,6600,78
312,73,5700,393
313,70,9600,72
314,94,5800,289
315,91,7700,970
316,91,5400,512
317,67,10000,528
318,1,7600,833
319,32,7800,146
320,64,1500,693
321,79,5300,1
322,48,700,588
323,88,7700,601
324,98,8000,43
325,31,4300,528
326,79,7800,627
327,24,3600,296
328,24,3700,718
329,5,8000,645
330,76,3500,84
331,100,300,531
332,82,800,741
333,52,7300,975
334,37,5400,838
335,98,7100,330
336,30,7900,278
337,10,2700,558
338,85,1200,377
339,32,3000,360
340,100,9500,464
341,79,5700,154
342,77,9500,912
343,81,8700,790
344,31,1100,589
345,88,4600,415
346,53,500,747
347,17,2500,159
348,33,2800,975
349,75,6000,318
350,72,2100,47
351,61,4900,343
352,28,3100,446
353,97,4300,693
354,29,7300,507
355,96,4800,171
356,50,5400,117
357,9,6200,122
358,20,1900,634
359,37,5000,792
360,82,6900,622
361,39,2500,370
362,32,8400,100
363,84,9900,194
364,42,8400,653
365,59,600,833
366,93,9500,996
367,13,7400,412
368,66,5400,643
369,83,9600,633
370,53,6100,62
371,81,6100,665
372,34,8900,757
373,37,6500,321
374,91,4300,630
375,50,6000,722
376,9,7900,328
377,81,500,594
378,71,7400,749
379,48,6500,400
380,38,7600,207
381,60,6400,793
382,1,7400,732
383,59,8600,273
384,81,700,713
385,72,4600,74
386,19,7000,162
387,37,1900,246
388,30,6800,839
389,17,2300,762
390,71,6500,618
391,9,9700,4
392,4,800,741
393,82,10000,145
394,85,2500,349
395,39,800,38
396,36,5300,504
397,30,9000,511
398,13,900,60
399,100,9200,116
400,76,7900,586
401,58,700,438
402,92,5900,129
403,64,8300,584
404,91,5100,790
405,39,1300,42
406,56,5100,531
407,34,7700,820
408,53,6000,817
409,13,2200,602
410,56,3900,23
411,5,2000,161
412,86,7100,234
413,48,3700,683
414,10,5100,319
415,72,1300,734
416,44,5000,678
417,46,3700,59
418,60,700,74
419,7,5500,305
420,68,400,857
421,32,1500,833
422,79,2700,417
423,18,5500,851
424,37,5100,922
425,50,4200,990
426,44,9400,459
427,57,7300,341
428,23,500,665
429,35,9700,946
430,85,9500,117
431,87,7900,788
432,71,8400,658
433,71,2700,12
434,57,5600,966
435,13,9500,870
436,81,8600,149
437,92,6600,903
438,98,7700,979
439,37,5300,864
440,100,2800,375
441,19,7700,782
442,46,800,39
443,6,1100,170
444,67,8900,53
445,53,5700,222
446,5,1300,575
447,76,400,152
448,77,1300,196
449,24,6600,163
450,60,8500,179
451,22,7700,221
452,93,1600,954
453,96,4100,426
454,99,2000,727
455,50,5300,732
456,89,4400,334
457,51,2600,465
458,35,2900,603
459,24,4800,738
460,37,6800,991
461,89,6000,521
462,15,1800,603
463,66,5600,552
464,69,600,792
465,44,7300,777
466,4,4000,188
467,44,7700,826
468,91,9500,495
469,58,900,224
470,36,5900,596
471,41,5900,162
472,8,4800,859
473,91,9800,543
474,20,8900,117
475,92,4200,133
476,17,600,755
477,1,7400,24
478,80,7000,568
479,61,8800,101
480,13,600,54
481,9,6700,149
482,72,1100,970
483,58,1700,905
484,13,3700,416
485,87,300,633
486,39,6200,116
487,52,5000,346
488,70,9200,351
489,43,5000,668
490,93,9900,833
491,23,6300,94
492,59,9400,733
493,53,400,613
494,49,8000,948
495,58,1200,377
496,98,9800,452
497,34,200,724
498,11,1300,386
499,3,3100,673
500,56,6100,425
501,96,6400,327
502,72,1500,613
503,15,8300,134
504,83,8600,557
505,12,3100,386
506,87,2700,88
507,30,2100,20
508,38,5600,256
509,11,7300,656
510,50,8400,853
511,63,9900,151
512,45,7000,788
513,39,8200,820
514,27,9100,404
515,95,4100,202
516,85,3300,287
517,41,3000,737
518,95,8200,851
519,14,700,624
520,93,9200,210
521,65,5300,762
522,28,1100,380
523,76,4000,337
524,48,6400,795
525,4,4800,852
526,45,5600,197
527,5,900,594
528,6,2800,178
529,14,7600,129
530,78,1800,452
531,3,900,700
532,62,2800,130
533,80,5000,559
534,79,3800,643
535,46,5300,150
536,77,3200,572
537,48,5100,872
538,40,7700,819
539,52,4000,149
540,33,3500,123
541,49,7500,318
542,14,4900,423
543,41,4300,555
544,74,4600,638
545,72,900,209
546,40,3400,108
547,70,9700,786
548,86,2600,170
549,74,7400,190
550,44,5700,61
551,18,9600,933
552,73,5300,66
553,82,8200,923
554,88,8000,538
555,14,4500,611
556,29,4500,658
557,65,3200,745
558,49,6300,26
559,16,2200,88
560,12,3400,567
561,58,7900,43
562,60,1200,174
563,56,6000,428
564,15,4800,127
565,73,1700,648
566,63,7400,266
567,85,3200,660
568,22,2000,859
569,86,4200,452
570,19,6300,208
571,14,5100,912
572,64,2000,743
573,69,7800,572
574,46,9100,817
575,14,9600,126
576,92,1400,19
577,12,3600,303
578,25,7100,602
579,18,8000,87
580,39,1100,729
581,65,1100,265
582,71,9300,323
583,78,2600,213
584,26,3500,515
585,59,8500,788
586,10,2300,387
587,79,800,375
588,14,6100,484
589,8,1500,91
590,80,6000,524
591,36,6300,322
592,33,5400,189
593,16,3600,283
594,26,2200,997
595,15,700,554
596,52,5300,73
597,85,3800,683
598,90,5900,59
599,86,9500,154
600,19,5000,795
601,31,3800,893
602,65,7200,260
603,62,7600,305
604,32,5700,311
605,93,5400,444
606,21,600,488
607,91,3300,561
608,34,1200,893
609,66,3300,280
610,33,500,929
611,79,500,186
612,58,2900,572
613,21,6000,703
614,10,3800,215
615,9,3500,608
616,88,2300,867
617,70,1500,118
618,23,3800,512
619,58,600,865
620,84,6900,565
621,34,8500,290
622,97,7900,457
623,100,500,949
624,67,1300,103
625,59,5900,980
626,60,1800,633
627,85,7200,99
628,82,2000,424
629,59,200,597
630,5,9100,181
631,10,4700,796
632,22,6900,885
633,18,6700,473
634,15,9900,189
635,89,8900,827
636,23,1400,699
637,97,200,874
638,42,8000,92
639,9,9600,171
640,90,4700,713
641,69,4500,250
642,3,4200,745
643,72,7700,237
644,17,7300,96
645,78,100,874
646,17,4400,221
647,93,2900,21
648,6,4700,797
649,78,2500,540
650,47,3600,898
651,40,5100,657
652,44,5900,685
653,11,3100,798
654,59,5900,284
655,46,3400,427
656,6,300,720
657,57,1800,178
658,88,7200,555
659,48,8400,240
660,76,2300,757
661,92,100,111
662,67,3400,124
663,67,8400,130
664,24,8100,115
665,57,5200,541
666,77,1800,665
667,73,2000,166
668,28,8400,632
669,20,3600,22
670,32,600,97
671,17,200,255
672,60,5200,995
673,29,7100,105
674,30,5200,158
675,17,1800,85
676,76,9500,760
677,66,400,192
678,69,9200,60
679,85,2600,589
680,88,300,85
681,7,5900,712
682,57,7400,138
683,12,1800,160
684,11,6500,813
685,48,4300,306
686,63,4500,527
687,55,8100,790
688,12,9400,727
689,74,5500,309
690,5,5200,435
691,4,1300,657
692,86,1400,684
693,89,6300,393
694,28,2700,543
695,75,6200,149
696,87,3100,158
697,89,7700,746
698,66,3500,224
699,90,9000,481
700,68,1300,367
701,74,6400,724
702,53,8100,525
703,71,7200,156
704,59,2700,581
705,51,5700,328
706,44,8700,794
707,74,1600,239
708,89,200,999
709,51,600,973
710,70,4600,240
711,90,8900,445
712,27,4400,397
713,23,5600,303
714,81,2800,356
715,82,5900,943
716,40,800,523
717,19,8900,898
718,96,5300,622
719,70,7900,833
720,32,9800,518
721,4,2400,625
722,93,9500,986
723,73,1900,831
724,69,9700,964
725,50,2100,175
726,97,8600,411
727,6,5400,796
728,82,6500,302
729,30,3700,86
730,26,5500,884
731,87,4500,749
732,5,2700,530
733,77,100,564
734,25,8000,592
735,71,600,374
736,17,7600,281
737,27,5600,169
738,37,100,337
739,49,2800,238
740,10,8600,868
741,47,400,564
742,10,4500,342
743,82,8200,684
744,29,4700,836
745,75,1200,818
746,20,9400,992
747,97,9800,350
748,82,7600,692
749,55,1900,982
750,75,3700,877
751,39,6000,46
752,10,4000,323
753,37,1400,646
754,50,1500,521
755,56,10000,969
756,87,7100,150
757,87,2400,793
758,14,4600,334
759,85,6700,428
760,15,3600,457
761,72,4300,209
762,11,1700,890
763,19,7500,402
764,47,8600,836
765,26,8600,973
766,15,9000,172
767,17,400,274
768,89,3000,794
769,42,5500,881
770,79,1300,378
771,21,9500,959
772,33,8000,407
773,64,900,161
774,28,5800,41
775,55,9400,966
776,84,2900,74
777,51,3400,806
778,25,6800,49
779,92,6800,92
780,75,9000,25
781,31,6700,679
782,24,3200,26
783,1,9000,881
784,34,9700,40
785,96,9000,758
786,31,2600,246
787,93,8700,467
788,84,6800,431
789,47,8900,630
790,3,2100,33
791,81,9800,912
792,62,4300,996
793,2,1700,803
794,11,6200,203
795,77,2900,335
796,90,2100,558
797,82,7200,590
798,33,5400,784
799,40,7900,222
800,9,3100,418
801,60,6600,89
802,20,8900,189
803,97,6900,626
804,10,9000,453
805,57,2800,795
806,75,5600,431
807,56,9600,607
808,17,1900,284
809,30,5500,627
810,26,5000,45
811,33,6600,526
812,29,6500,205
813,96,6600,579
814,71,2200,261
815,62,8500,276
816,76,6500,271
817,7,4300,35
818,90,8300,228
819,75,4100,957
820,41,100,604
821,68,4800,411
822,97,7700,673
823,5,1100,934
824,88,4400,832
825,56,2600,184
826,98,2900,30
827,74,500,531
828,59,8100,370
829,5,5100,677
830,67,3400,336
831,86,6000,556
832,47,5000,67
833,27,3300,881
834,40,1700,56
835,37,2900,45
836,60,7600,966
837,24,8200,565
838,64,300,51
839,43,8900,733
840,84,8400,918
841,13,10000,602
842,96,7500,729
843,80,6600,793
844,41,3000,48
845,2,4200,626
846,87,8900,697
847,31,9100,982
848,15,5000,6
849,22,8900,534
850,28,6300,747
851,85,800,1000
852,100,5200,320
853,100,8200,541
854,38,9500,467
855,94,9000,512
856,25,500,56
857,2,3000,879
858,99,5400,481
859,5,5000,647
860,9,8900,805
861,2,4900,400
862,60,2600,210
863,63,6100,577
864,24,2400,839
865,61,4000,837
866,33,10000,823
867,70,1000,386
868,84,1700,825
869,39,5800,577
870,20,900,562
871,96,5800,179
872,25,2100,421
873,58,9300,892
874,35,8000,149
875,68,2000,722
876,19,7900,374
877,16,8900,614
878,66,6600,955
879,75,4500,644
880,97,8500,841
881,83,7800,965
882,15,3800,467
883,18,3900,476
884,67,6100,749
885,76,8000,738
886,20,6400,662
887,75,1500,892
888,94,5700,280
889,88,7600,992
890,77,1000,209
891,34,2900,157
892,35,9000,657
893,46,1700,836
894,14,7400,129
895,22,1100,352
896,87,9600,962
897,20,900,992
898,26,1600,265
899,83,1900,765
900,72,900,453
901,11,5500,733
902,54,1900,423
903,89,7400,162
904,95,3000,806
905,80,5600,133
906,7,300,305
907,24,6800,389
908,42,3900,729
909,59,9100,426
910,9,8700,221
911,30,3300,182
912,73,5800,82
913,58,9900,972
914,73,1900,73
915,51,1200,540
916,71,200,417
917,64,2400,657
918,52,3600,403
919,63,7000,193
920,85,1300,551
921,31,9100,271
922,2,5400,46
923,89,7400,297
924,26,4400,197
925,4,4200,264
926,97,5300,455
927,97,6900,300
928,92,3400,880
929,24,200,951
930,40,4700,296
931,42,4500,2
932,68,1300,457
933,43,500,359
934,83,9200,458
935,94,6300,771
936,81,7200,387
937,52,6500,299
938,48,8700,722
939,18,8700,17
940,64,1400,285
941,11,7600,118
942,83,4300,870
943,72,6600,62
944,96,3400,242
945,80,7900,102
946,25,1200,294
947,93,9400,473
948,15,9200,505
949,38,8900,672
950,45,1400,396
951,78,8800,398
952,46,4300,683
953,21,3000,20
954,49,5200,112
955,79,8700,322
956,30,1200,842
957,31,200,407
958,48,8300,351
959,14,4400,223
960,75,3800,23
961,69,2100,337
962,16,4900,712
963,20,5000,119
964,47,7100,615
965,38,8700,127
966,91,3300,185
967,67,1900,381
968,77,8700,400
969,1,6100,203
970,33,2700,295
971,92,700,267
972,28,9200,532
973,92,1400,990
974,20,3600,355
975,21,6700,287
976,92,1500,531
977,59,900,26
978,46,5900,32
979,10,4800,497
980,57,2700,530
981,69,1300,979
982,56,5100,452
983,76,10000,217
984,85,5800,498
985,95,700,286
986,62,6000,102
987,90,7700,133
988,80,2800,98
989,38,8400,193
990,39,1700,678
991,80,2200,859
992,66,5900,946
993,49,6500,595
994,39,7700,721
995,95,2100,443
996,23,3700,986
997,19,6300,763
998,25,2200,464
999,21,400,635
1000,7,7100,942
1001,79,6700,684
1002,23,9800,378
1003,55,4600,127
1004,33,4800,801
1005,67,9300,766
1006,20,8400,206
1007,67,2400,880
1008,9,3700,477
1009,87,1100,307
1010,7,900,458
1011,26,1100,739
1012,58,3200,596
1013,59,2400,483
1014,34,1000,180
1015,22,8400,246
1016,19,9500,123
1017,55,6500,677
1018,72,7000,690
1019,47,8000,105
1020,36,1800,477
1021,30,9100,664
1022,48,1400,557
1023,63,1400,50
1024,11,8800,627
1025,89,3400,603
1026,90,1100,611
1027,6,1800,886
1028,90,1100,93
1029,67,1100,866
1030,34,7300,300
1031,47,9900,522
1032,60,800,945
1033,22,700,155
1034,15,1200,565
1035,65,2200,576
1036,6,7600,189
1037,25,6100,299
1038,44,1900,294
1039,74,6200,975
1040,34,9100,542
1041,58,1200,296
1042,38,3800,982
1043,5,2100,350
1044,64,6100,675
1045,89,5400,599
1046,67,500,601
1047,87,9100,456
1048,28,2600,933
1049,61,8000,315
1050,45,1600,701
1051,5,2900,909
1052,42,6000,353
1053,85,9000,936
1054,50,2100,403
1055,85,600,44
1056,56,9400,809
1057,24,5400,453
1058,1,2300,33
1059,6,2500,289
1060,21,8500,355
1061,46,8600,919
1062,46,2700,587
1063,28,5400,948
1064,60,9700,949
1065,66,8300,912
1066,31,5100,90
1067,23,6200,419
1068,58,2800,682
1069,87,8400,736
1070,100,8200,323
1071,86,2200,51
1072,74,6600,155
1073,35,3100,889
1074,93,7200,834
1075,69,300,41
1076,24,7200,159
1077,62,8500,277
1078,9,8100,369
1079,37,3000,918
1080,1,2700,568
1081,94,3600,251
1082,25,2400,418
1083,6,4900,92
1084,37,6100,283
1085,86,400,716
1086,16,7300,12
1087,93,4300,345
1088,78,1800,33
1089,72,5200,188
1090,84,6900,717
1091,22,6800,872
1092,46,4600,723
1093,27,2200,521
1094,20,1700,320
1095,9,9100,77
1096,79,5000,806
1097,87,2700,584
1098,88,5500,705
1099,97,5900,850
1100,45,1200,301
1101,42,4500,968
1102,68,2600,242
1103,77,7000,122
1104,59,8300,965
1105,69,3100,183
1106,76,2600,681
1107,18,7100,648
1108,73,3400,964
1109,60,10000,407
1110,48,2600,427
1111,38,3100,730
1112,66,1300,415
1113,14,8200,517
1114,26,1600,184
1115,84,5500,693
1116,32,2500,350
1117,3,7000,510
1118,88,700,393
1119,46,6400,366
1120,65,4800,254
1121,80,6200,9
1122,51,3400,359
1123,72,1600,746
1124,20,4200,487
1125,47,6800,165
1126,28,7000,33
1127,3,9700,212
1128,7,1900,11
1129,53,9900,361
1130,10,3700,684
1131,38,3000,784
1132,55,4100,359
1133,76,8200,750
1134,66,9700,767
1135,89,5800,698
1136,33,4300,462
1137,41,4400,619
1138,31,5500,221
1139,38,9300,489
1140,68,1500,751
1141,61,3200,192
1142,11,6300,920
1143,15,7900,964
1144,100,100,360
1145,32,3300,434
1146,89,1100,331
1147,93,800,776
1148,81,800,974
1149,47,3000,745
1150,19,6900,554
1151,62,3700,984
1152,40,2400,761
1153,83,500,687
1154,2,6800,41
1155,93,1100,410
1156,37,5700,762
1157,47,1000,349
1158,77,5800,311
1159,87,7600,126
1160,18,5700,429
1161,67,1300,141
1162,47,7200,586
1163,57,1100,52
1164,2,9900,247
1165,60,3200,999
1166,44,1500,842
1167,39,1000,563
1168,2,6100,321
1169,43,7100,752
1170,22,4900,486
1171,79,7100,858
1172,73,2300,14
1173,73,8200,189
1174,71,9500,391
1175,35,9000,281
1176,86,9300,138
1177,78,6000,274
1178,83,7600,463
1179,71,6900,372
1180,61,8700,875
1181,5,1100,503
1182,41,3700,811
1183,95,1800,70
1184,5,4100,17
1185,58,4000,877
1186,51,1200,718
1187,66,9800,17
1188,76,2200,840
1189,52,8600,950
1190,2,2000,503
1191,48,2400,33
1192,33,3200,544
1193,53,2500,598
1194,48,3100,377
1195,91,5200,23
1196,49,2200,617
1197,47,7000,35
1198,70,5400,489
1199,94,5300,218
1200,93,5800,909
1201,1,2300,670
1202,94,1400,63
1203,4,7800,362
1204,70,9400,567
1205,26,5200,863
1206,92,5200,96
1207,8,2500,964
1208,13,5600,244
1209,3,4000,455
1210,63,600,600
1211,53,4400,588
1212,64,200,310
1213,5,2900,980
1214,50,6800,122
1215,90,2000,888
1216,100,2400,42
1217,5,9600,606
1218,21,9400,323
1219,22,1000,86
1220,51,4900,468
1221,42,2900,950
1222,26,500,519
1223,20,3300,186
1224,22,4100,536
1225,39,9600,313
1226,12,200,39
1227,6,1100,706
1228,64,400,220
1229,52,6500,822
1230,62,9400,801
1231,43,6700,407
1232,44,4000,540
1233,40,600,419
1234,22,6500,818
1235,28,9100,428
1236,27,100,124
1237,73,8100,984
1238,56,6900,775
1239,27,8400,743
1240,85,5700,408
1241,42,4800,507
1242,51,9300,543
1243,65,3500,996
1244,73,5500,503
1245,64,7700,69
1246,56,1500,256
1247,58,8600,738
1248,10,4000,379
1249,4,8200,668
1250,56,9200,596
1251,28,1200,271
1252,26,6200,784
1253,99,7000,535
1254,90,1200,375
1255,73,8100,222
1256,20,8000,955
1257,28,5600,368
1258,72,7900,712
1259,72,3600,629
1260,80,1400,303
1261,15,300,960
1262,27,5000,922
1263,10,9000,283
1264,75,7500,181
1265,14,8400,326
1266,8,5700,625
1267,89,3800,120
1268,6,6400,925
1269,60,7200,830
1270,11,8100,989
1271,15,6600,282
1272,70,7400,630
1273,47,6800,527
1274,50,6000,57
1275,9,7200,30
1276,44,7200,299
1277,34,3900,404
1278,82,400,311
1279,74,7700,104
1280,52,1200,503
1281,25,7000,524
1282,76,600,792
1283,4,3200,423
1284,3,6500,565
1285,3,1700,328
1286,93,3100,5
1287,25,7100,155
1288,91,4800,697
1289,3,9900,218
1290,97,1000,551
1291,57,8600,657
1292,5,9000,785
1293,25,5500,771
1294,4,2400,163
1295,24,4300,619
1296,100,8500,630
1297,2,6700,886
1298,16,6800,965
1299,89,4800,165
1300,76,7500,97
1301,13,6500,859
1302,66,1700,666
1303,16,1500,947
1304,77,4200,169
1305,30,8300,805
1306,8,5400,106
1307,65,1400,678
1308,19,4400,953
1309,60,10000,393
1310,35,5900,11
1311,34,2000,917
1312,52,4600,591
1313,77,3900,225
1314,50,5100,879
1315,23,5200,239
1316,82,5400,661
1317,53,1600,598
1318,25,7300,999
1319,94,7100,349
1320,19,9700,55
1321,81,1600,402
1322,69,100,228
1323,36,8100,554
1324,81,600,454
1325,22,4900,651
1326,34,8500,988
1327,96,6700,67
1328,67,1800,809
1329,79,7700,353
1330,53,6800,481
1331,50,5800,676
1332,38,9500,53
1333,69,900,768
1334,77,7600,706
1335,42,5800,211
1336,9,7400,456
1337,46,8700,213
1338,45,6600,158
1339,56,9000,309
1340,99,4900,630
1341,20,8200,347
1342,29,8700,722
1343,41,1700,631
1344,36,800,221
1345,58,2200,152
1346,83,2000,984
1347,49,1500,327
1348,46,9400,758
1349,76,7100,371
1350,64,2600,168
1351,31,7700,869
1352,55,9900,459
1353,76,8500,38
1354,23,2200,993
1355,69,8900,239
1356,71,7100,673
1357,70,2800,543
1358,12,8100,907
1359,43,5900,20
1360,74,2400,442
1361,44,7500,664
1362,88,5400,732
1363,90,900,230
1364,80,3900,927
1365,64,1000,290
1366,27,4100,84
1367,90,1800,184
1368,87,6800,623
1369,88,9000,307
1370,16,100,11
1371,79,7700,534
1372,59,10000,838
1373,35,3700,855
1374,63,7300,714
1375,32,800,45
1376,45,2800,967
1377,67,1000,252
1378,35,8300,742
1379,17,6700,616
1380,28,5000,325
1381,53,5500,817
1382,48,8900,875
1383,57,7000,315
1384,62,10000,550
1385,24,6700,871
1386,62,7900,516
1387,81,600,406
1388,45,900,738
1389,3,3800,171
1390,19,4900,831
1391,66,9000,766
1392,48,5100,601
1393,47,3700,455
1394,97,200,994
1395,75,7500,687
1396,99,8700,224
1397,65,7100,510
1398,38,4500,827
1399,72,2800,919
1400,48,7600,723
1401,93,9600,549
1402,15,1400,465
1403,43,4200,967
1404,79,9000,880
1405,63,2300,442
1406,4,8600,139
1407,57,6100,249
1408,33,6100,547
1409,82,8500,281
1410,7,2500,241
1411,60,9100,645
1412,12,5300,64
1413,88,2600,70
1414,94,2600,522
1415,81,5500,64
1416,3,8700,664
1417,92,8700,280
1418,86,9400,94
1419,67,4300,222
1420,50,3300,573
1421,21,1700,579
1422,2,8100,144
1423,98,7000,406
1424,90,10000,982
1425,64,5600,835
1426,54,1100,78
1427,42,7800,780
1428,99,5200,485
1429,88,4800,290
1430,41,6200,991
1431,43,5100,43
1432,47,3000,131
1433,82,1200,348
1434,6,7500,70
1435,91,3600,572
1436,1,8400,488
1437,23,6000,402
1438,50,7600,694
1439,58,7400,650
1440,37,3700,297
1441,57,3000,143
1442,72,8900,128
1443,13,4200,33
1444,19,9600,550
1445,96,4100,995
1446,13,200,273
1447,42,8900,782
1448,9,3600,281
1449,62,7500,332
1450,51,5500,463
1451,80,9000,88
1452,96,3900,879
1453,23,8000,261
1454,95,2400,115
1455,54,6600,656
1456,46,4700,482
1457,93,300,958
1458,15,1900,378
1459,72,3400,925
1460,39,8700,365
1461,38,2100,626
1462,17,4300,711
1463,72,3600,754
1464,23,7700,984
1465,30,1400,643
1466,77,9000,88
1467,24,4300,955
1468,51,1900,421
1469,96,8500,193
1470,30,8900,372
1471,76,3800,526
1472,63,1300,618
1473,56,3100,901
1474,11,6100,112
1475,17,5400,210
1476,36,8300,817
1477,91,2600,611
1478,23,2100,381
1479,12,1600,819
1480,98,2700,622
1481,58,6100,777
1482,87,5100,465
1483,64,2300,105
1484,16,7100,122
1485,95,2100,276
1486,81,700,304
1487,49,2200,423
1488,38,5900,416
1489,72,7700,322
1490,29,200,977
1491,39,6400,509
1492,57,3200,561
1493,15,7600,635
1494,13,4800,170
1495,59,7100,215
1496,9,2200,856
1497,56,6400,624
1498,6,3500,546
1499,12,8600,640
1500,68,2200,663
1501,14,200,354
1502,16,1200,102
1503,20,3200,905
1504,89,6500,255
1505,64,2800,99
1506,84,6500,523
1507,68,6900,179
1508,86,7100,183
1509,41,7800,795
1510,63,4700,854
